nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,118952,2018-05-07T13:27:00Z,0,Java,1413,false
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,73794,2014-08-09T16:45:18Z,0,Java,2779,false
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,69366,2018-12-06T08:01:22Z,0,Java,1200,false
doocs/advanced-java,https://github.com/doocs/advanced-java,61800,2018-10-06T11:38:30Z,1,Java,1261,false
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,60165,2012-10-19T15:02:57Z,125,Java,3439,true
elastic/elasticsearch,https://github.com/elastic/elasticsearch,58915,2010-02-08T13:20:56Z,78,Java,4423,false
macrozheng/mall,https://github.com/macrozheng/mall,56731,2018-04-04T01:11:44Z,1,Java,1446,false
kdn251/interviews,https://github.com/kdn251/interviews,56548,2017-02-14T18:19:25Z,0,Java,1859,false
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,46590,2010-12-08T04:04:45Z,224,Java,4120,false
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,45861,2013-01-08T20:11:48Z,227,Java,3357,false
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,45194,2019-09-05T03:01:56Z,0,Java,927,false
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,45093,2016-07-16T10:21:02Z,0,Java,2073,false
google/guava,https://github.com/google/guava,43961,2014-05-29T16:23:17Z,35,Java,2852,false
square/retrofit,https://github.com/square/retrofit,39711,2010-09-06T21:39:43Z,0,Java,4212,false
apache/dubbo,https://github.com/apache/dubbo,36969,2012-06-19T07:56:02Z,46,Java,3561,false
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,34801,2014-04-25T14:29:47Z,44,Java,2886,false
