nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed,cbo,dit,lcom*,loc
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,73836,2014-08-09T16:45:18Z,0,Java,2782,true,3.314626865671642,2,Not processed.,32454
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,69397,2018-12-06T08:01:22Z,0,Java,1202,true,1,1,0.05,78
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,60199,2012-10-19T15:02:57Z,125,Java,3441,true,5.177110657728553,1,Not processed.,296298
elastic/elasticsearch,https://github.com/elastic/elasticsearch,58930,2010-02-08T13:20:56Z,79,Java,4425,true,7.824951715941168,2,Not processed.,1.785555e+06
macrozheng/mall,https://github.com/macrozheng/mall,56770,2018-04-04T01:11:44Z,1,Java,1448,true,3.836436170212766,1,Not processed.,100567
kdn251/interviews,https://github.com/kdn251/interviews,56575,2017-02-14T18:19:25Z,0,Java,1862,true,1.1906614785992218,1,Not processed.,5621
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,46612,2010-12-08T04:04:45Z,224,Java,4122,true,5.242555831265508,1,Not processed.,612337
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,45865,2013-01-08T20:11:48Z,228,Java,3359,true,2.520748987854251,1,Not processed.,368545
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,45251,2019-09-05T03:01:56Z,0,Java,929,true,0,1,0,5
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,45155,2016-07-16T10:21:02Z,0,Java,2075,true,1.8185483870967742,1,Not processed.,21063
google/guava,https://github.com/google/guava,43979,2014-05-29T16:23:17Z,35,Java,2854,true,3.7495730476634064,3,Not processed.,267202
square/retrofit,https://github.com/square/retrofit,39727,2010-09-06T21:39:43Z,0,Java,4214,true,4.130514705882353,1,Not processed.,26613
apache/dubbo,https://github.com/apache/dubbo,36982,2012-06-19T07:56:02Z,46,Java,3563,true,5.068796776050662,2,Not processed.,168668
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,34814,2014-04-25T14:29:47Z,44,Java,2888,true,8.843137254901961,3,Not processed.,21111
airbnb/lottie-android,https://github.com/airbnb/lottie-android,32561,2016-10-06T22:42:42Z,41,Java,1992,true,6.80827067669173,1,Not processed.,15358
bumptech/glide,https://github.com/bumptech/glide,32376,2013-07-08T22:52:33Z,38,Java,3178,true,5.967451523545706,1,Not processed.,56782
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,31825,2019-03-01T03:27:48Z,19,Java,1117,true,6.860146252285192,3,Not processed.,1.59624e+06
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,30567,2016-07-30T18:18:32Z,116,Java,2061,true,4.152238805970149,1,Not processed.,39842
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,30117,2020-05-29T05:47:09Z,0,Java,662,true,1,1,Not processed.,61
eugenp/tutorials,https://github.com/eugenp/tutorials,29881,2013-04-29T18:26:36Z,0,Java,3249,true,4.14400368396816,1,Not processed.,346501
skylot/jadx,https://github.com/skylot/jadx,29458,2013-03-18T17:08:21Z,19,Java,3291,true,4.4209796672828094,1,Not processed.,96684
zxing/zxing,https://github.com/zxing/zxing,29306,2011-10-12T14:07:27Z,27,Java,3814,true,4.967741935483871,3,Not processed.,39419
netty/netty,https://github.com/netty/netty,28779,2010-11-09T09:22:21Z,0,Java,4151,true,4.381511825629928,2,Not processed.,304103
alibaba/arthas,https://github.com/alibaba/arthas,28690,2018-08-29T17:15:57Z,39,Java,1301,true,4.5097529258777636,1,Not processed.,39663
